scaled_run_id,anchor_id,physical_condition_id,city,scenario,selector_role,weather_year,strategy,policy_label,trace_rows,occupied_rows,zone_count,timestep_hours,worst_zone_dh_below_18c,worst_zone_dh_below_18c_zone,worst_zone_dh_below_16c,worst_zone_dh_below_16c_zone
SCALED-96-086,phoenix_ssp245_future_extreme,phoenix|ssp245|late_2080s|2086,Phoenix,ssp245,future_extreme,2086,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-087,phoenix_ssp245_future_extreme,phoenix|ssp245|late_2080s|2086,Phoenix,ssp245,future_extreme,2086,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-088,phoenix_ssp245_future_extreme,phoenix|ssp245|late_2080s|2086,Phoenix,ssp245,future_extreme,2086,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-089,phoenix_ssp585_present_typical,phoenix|ssp585|baseline_2020s|2029,Phoenix,ssp585,present_typical,2029,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-090,phoenix_ssp585_present_typical,phoenix|ssp585|baseline_2020s|2029,Phoenix,ssp585,present_typical,2029,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-091,phoenix_ssp585_present_typical,phoenix|ssp585|baseline_2020s|2029,Phoenix,ssp585,present_typical,2029,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-092,phoenix_ssp585_present_typical,phoenix|ssp585|baseline_2020s|2029,Phoenix,ssp585,present_typical,2029,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-093,phoenix_ssp585_future_extreme,phoenix|ssp585|late_2080s|2085,Phoenix,ssp585,future_extreme,2085,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-094,phoenix_ssp585_future_extreme,phoenix|ssp585|late_2080s|2085,Phoenix,ssp585,future_extreme,2085,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-095,phoenix_ssp585_future_extreme,phoenix|ssp585|late_2080s|2085,Phoenix,ssp585,future_extreme,2085,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,0,core_bottom,0,core_bottom
SCALED-96-096,phoenix_ssp585_future_extreme,phoenix|ssp585|late_2080s|2085,Phoenix,ssp585,future_extreme,2085,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,0,core_bottom,0,core_bottom
