city,sizing_contract_city_ddy,metric,policy,value_city_ddy,lower_is_preferred_city_ddy,rank_city_ddy,sizing_contract_accepted_denver,value_accepted_denver,lower_is_preferred_accepted_denver,rank_accepted_denver,rank_change_city_ddy_minus_denver,rank_changed
Phoenix,city_ddy,annual_occupied_worst_zone_degree_hours_above_26c,adaptive_band,5032.62004387,True,2,accepted_denver,7705.10266678,True,3,-1,True
Phoenix,city_ddy,annual_occupied_worst_zone_degree_hours_above_26c,fixed,2341.75980778,True,1,accepted_denver,5615.94002295,True,1,0,False
Phoenix,city_ddy,annual_occupied_worst_zone_degree_hours_above_26c,learned_p90,6108.29325042,True,4,accepted_denver,8089.25028585,True,4,0,False
Phoenix,city_ddy,annual_occupied_worst_zone_degree_hours_above_26c,pmv,5516.54416281,True,3,accepted_denver,7649.66484851,True,2,1,True
Phoenix,city_ddy,annual_occupied_worst_zone_degree_hours_above_28c,adaptive_band,648.229225146,True,2,accepted_denver,2180.34688434,True,2,0,False
Phoenix,city_ddy,annual_occupied_worst_zone_degree_hours_above_28c,fixed,401.229347466,True,1,accepted_denver,1967.65558726,True,1,0,False
Phoenix,city_ddy,annual_occupied_worst_zone_degree_hours_above_28c,learned_p90,744.595327534,True,4,accepted_denver,2235.07355714,True,3,1,True
Phoenix,city_ddy,annual_occupied_worst_zone_degree_hours_above_28c,pmv,704.08487432,True,3,accepted_denver,2246.68548175,True,4,-1,True
Phoenix,city_ddy,annual_occupied_worst_zone_degree_hours_above_30c,adaptive_band,33.2513275869,True,4,accepted_denver,438.941427107,True,2,2,True
Phoenix,city_ddy,annual_occupied_worst_zone_degree_hours_above_30c,fixed,27.8202635112,True,1,accepted_denver,421.303790225,True,1,0,False
Phoenix,city_ddy,annual_occupied_worst_zone_degree_hours_above_30c,learned_p90,30.1247735052,True,3,accepted_denver,448.206149741,True,3,0,False
Phoenix,city_ddy,annual_occupied_worst_zone_degree_hours_above_30c,pmv,29.2072107606,True,2,accepted_denver,452.805097959,True,4,-2,True
