controller,aggregation,tail_threshold,asym_threshold,dwell_minutes,occupied_records,request_records,request_share_pct,warm_request_share_pct,applied_actions,actions_per_occupied_day,blocked_by_dwell,blocked_by_bounds,reversals_within_2h,min_offset_c,max_offset_c,mean_signal_p_tail,p95_signal_p_tail,high_tail_share_pct
total_tail_mu,p90,0.3,0.1,0,16704,2687,16.08596743295019,100.0,4,0.022988505747126436,0,2683,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,16.08596743295019
total_tail_mu,p90,0.3,0.1,60,16704,2687,16.08596743295019,100.0,4,0.022988505747126436,6,2677,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,16.08596743295019
total_tail_mu,p90,0.3,0.1,120,16704,2687,16.08596743295019,100.0,4,0.022988505747126436,14,2669,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,16.08596743295019
tail_asym,p90,0.1,0.05,0,16704,7928,47.46168582375479,99.02875882946519,80,0.45977011494252873,0,7848,1,-2.0,2.0,0.16205001056209245,0.38119480770158765,47.066570881226056
tail_asym,p90,0.1,0.05,60,16704,7928,47.46168582375479,99.02875882946519,62,0.3563218390804598,90,7776,1,-2.0,2.0,0.16205001056209245,0.38119480770158765,47.066570881226056
tail_asym,p90,0.1,0.05,120,16704,7928,47.46168582375479,99.02875882946519,52,0.2988505747126437,130,7746,1,-2.0,2.0,0.16205001056209245,0.38119480770158765,47.066570881226056
tail_asym,p90,0.1,0.1,0,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,0,6540,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,47.066570881226056
tail_asym,p90,0.1,0.1,60,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,5,6535,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,47.066570881226056
tail_asym,p90,0.1,0.1,120,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,12,6528,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,47.066570881226056
tail_asym,p90,0.2,0.05,0,16704,7928,47.46168582375479,99.02875882946519,80,0.45977011494252873,0,7848,1,-2.0,2.0,0.16205001056209245,0.38119480770158765,30.052681992337163
tail_asym,p90,0.2,0.05,60,16704,7928,47.46168582375479,99.02875882946519,62,0.3563218390804598,90,7776,1,-2.0,2.0,0.16205001056209245,0.38119480770158765,30.052681992337163
tail_asym,p90,0.2,0.05,120,16704,7928,47.46168582375479,99.02875882946519,52,0.2988505747126437,130,7746,1,-2.0,2.0,0.16205001056209245,0.38119480770158765,30.052681992337163
tail_asym,p90,0.2,0.1,0,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,0,6540,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
tail_asym,p90,0.2,0.1,60,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,5,6535,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
tail_asym,p90,0.2,0.1,120,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,12,6528,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
tail_asym,p90,0.3,0.05,0,16704,7928,47.46168582375479,99.02875882946519,80,0.45977011494252873,0,7848,1,-2.0,2.0,0.16205001056209245,0.38119480770158765,16.08596743295019
tail_asym,p90,0.3,0.05,60,16704,7928,47.46168582375479,99.02875882946519,62,0.3563218390804598,90,7776,1,-2.0,2.0,0.16205001056209245,0.38119480770158765,16.08596743295019
tail_asym,p90,0.3,0.05,120,16704,7928,47.46168582375479,99.02875882946519,52,0.2988505747126437,130,7746,1,-2.0,2.0,0.16205001056209245,0.38119480770158765,16.08596743295019
tail_asym,p90,0.3,0.1,0,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,0,6540,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,16.08596743295019
tail_asym,p90,0.3,0.1,60,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,5,6535,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,16.08596743295019
tail_asym,p90,0.3,0.1,120,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,12,6528,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,16.08596743295019
gate_tail_asym,p90,0.1,0.05,0,16704,7855,47.024664750957854,99.92361553150859,16,0.09195402298850575,0,7839,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,47.066570881226056
gate_tail_asym,p90,0.1,0.05,60,16704,7855,47.024664750957854,99.92361553150859,12,0.06896551724137931,10,7833,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,47.066570881226056
