period,severity,weather_year,weather,strategy,electricity_change_vs_reference_pct,mean_p_tail,p_tail_ge_0_20_pct,max_zone_p_tail_ge_0_20_pct,mean_top_c,mean_pmv,mean_ppd_pct,pmv_abs_gt_1_0_pct,ppd_gt_25_pct,adaptive_80_violation_pct,adaptive_90_violation_pct,energy_relax_actions,guard_hold_records,warm_protection_actions
2050s,typical,2050,guangzhou_ssp585_mid_2050s_typical_2050,diagnostic_reference,0.0,0.1240591195503793,19.53125,41.25,26.2226284594194,0.562628125,13.75746505433031,12.812499999999998,15.156249999999998,0.0,0.0,0,0,0
2050s,typical,2050,guangzhou_ssp585_mid_2050s_typical_2050,paperb_adaptive_band_relax,-1.8567466384602604,0.134914301113475,22.34375,43.75,26.46943732940681,0.6288364583333333,15.270617963105993,16.71875,18.75,0.0,0.0,10,0,0
2050s,typical,2050,guangzhou_ssp585_mid_2050s_typical_2050,paperb_gate_tail_asym_relax,-1.8358222111656497,0.1350572142231888,22.34375,44.0625,26.47022766085611,0.6291833333333333,15.113376461111688,17.03125,18.4375,0.0,0.0,21,0,23
2050s,typical,2050,guangzhou_ssp585_mid_2050s_typical_2050,paperb_pmv_exceedance_guard_relax,-1.5272738909299144,0.1348170085907972,21.71875,44.21875,26.458129192563604,0.6264416666666666,15.183546000434532,15.937499999999998,18.28125,0.0,0.0,18,258,24
2050s,typical,2050,guangzhou_ssp585_mid_2050s_typical_2050,paperb_pmv_relax,-1.272034866064331,0.1345248830541934,21.5625,44.84375,26.446429109006903,0.6238385416666666,15.119740662699268,15.78125,18.28125,0.0,0.0,37,0,56
2050s,typical,2050,guangzhou_ssp585_mid_2050s_typical_2050,paperb_ppd_guard_relax,-1.508444966436684,0.1347911167437899,21.5625,44.0625,26.458126854540012,0.6264958333333334,15.185133826829253,16.09375,18.28125,0.0,0.0,18,254,26
2080s,heatwave,2086,guangzhou_ssp585_late_2080s_heatwave_extreme_2086,diagnostic_reference,0.0,0.3240378983301596,95.15625,99.6875,29.06949530731306,1.4737552083333334,49.86354502029903,89.6875,90.46875,0.0,2.96875,0,0,0
2080s,heatwave,2086,guangzhou_ssp585_late_2080s_heatwave_extreme_2086,paperb_adaptive_band_relax,-0.1340779514372947,0.3246446949790939,95.3125,99.53125,29.07803574758268,1.4758354166666667,50.12925692730188,89.84375,91.25,0.0,3.28125,10,19,0
2080s,heatwave,2086,guangzhou_ssp585_late_2080s_heatwave_extreme_2086,paperb_gate_tail_asym_relax,-0.0067722036581452,0.3240386749490128,95.15625,99.53125,29.069876660184327,1.4738083333333334,49.85879935335656,90.0,90.46875,0.0,2.96875,9,0,132
2080s,heatwave,2086,guangzhou_ssp585_late_2080s_heatwave_extreme_2086,paperb_pmv_exceedance_guard_relax,0.0402309470060702,0.3239744360343969,95.15625,99.6875,29.069028216727475,1.473815625,50.04543910681556,90.0,90.78125,0.0,2.8125,2,62,149
2080s,heatwave,2086,guangzhou_ssp585_late_2080s_heatwave_extreme_2086,paperb_pmv_relax,0.0403425723367822,0.3239744174398423,95.15625,99.6875,29.06903413866354,1.473815625,50.04546695838333,90.0,90.78125,0.0,2.8125,2,0,159
2080s,heatwave,2086,guangzhou_ssp585_late_2080s_heatwave_extreme_2086,paperb_ppd_guard_relax,0.0402309470060702,0.3239744360343969,95.15625,99.6875,29.069028216727475,1.473815625,50.04543910681556,90.0,90.78125,0.0,2.8125,2,57,150
2080s,hot,2086,guangzhou_ssp585_late_2080s_hot_2086,diagnostic_reference,0.0,0.3240378983301596,95.15625,99.6875,29.06949530731306,1.4737552083333334,49.86354502029903,89.6875,90.46875,0.0,2.96875,0,0,0
2080s,hot,2086,guangzhou_ssp585_late_2080s_hot_2086,paperb_adaptive_band_relax,-0.1340779514372947,0.3246446949790939,95.3125,99.53125,29.07803574758268,1.4758354166666667,50.12925692730188,89.84375,91.25,0.0,3.28125,10,19,0
2080s,hot,2086,guangzhou_ssp585_late_2080s_hot_2086,paperb_gate_tail_asym_relax,-0.0067722036581452,0.3240386749490128,95.15625,99.53125,29.069876660184327,1.4738083333333334,49.85879935335656,90.0,90.46875,0.0,2.96875,9,0,132
2080s,hot,2086,guangzhou_ssp585_late_2080s_hot_2086,paperb_pmv_exceedance_guard_relax,0.0402309470060702,0.3239744360343969,95.15625,99.6875,29.069028216727475,1.473815625,50.04543910681556,90.0,90.78125,0.0,2.8125,2,62,149
2080s,hot,2086,guangzhou_ssp585_late_2080s_hot_2086,paperb_pmv_relax,0.0403425723367822,0.3239744174398423,95.15625,99.6875,29.06903413866354,1.473815625,50.04546695838333,90.0,90.78125,0.0,2.8125,2,0,159
2080s,hot,2086,guangzhou_ssp585_late_2080s_hot_2086,paperb_ppd_guard_relax,0.0402309470060702,0.3239744360343969,95.15625,99.6875,29.069028216727475,1.473815625,50.04543910681556,90.0,90.78125,0.0,2.8125,2,57,150
2080s,typical,2087,guangzhou_ssp585_late_2080s_typical_2087,diagnostic_reference,0.0,0.1554140766251548,32.96875,56.875,26.545330318231017,0.67181875,17.43804044986235,26.406249999999996,27.187499999999996,0.0,0.0,0,0,0
2080s,typical,2087,guangzhou_ssp585_late_2080s_typical_2087,paperb_adaptive_band_relax,-1.5131822064549327,0.1619918308853618,33.59375,56.40625,26.733158404555702,0.7208354166666667,18.573621966334937,27.500000000000004,28.90625,0.0,0.0,10,0,0
2080s,typical,2087,guangzhou_ssp585_late_2080s_typical_2087,paperb_gate_tail_asym_relax,-1.5088941659242905,0.1619964326682587,33.4375,56.40625,26.73303579817924,0.72085625,18.3945630047206,27.500000000000004,28.125,0.0,0.0,25,0,15
2080s,typical,2087,guangzhou_ssp585_late_2080s_typical_2087,paperb_pmv_exceedance_guard_relax,-1.3092667345025566,0.162685583861009,33.75,56.71874999999999,26.728443845505502,0.72004375,18.571640538818073,27.500000000000004,28.90625,0.0,0.0,9,241,49
2080s,typical,2087,guangzhou_ssp585_late_2080s_typical_2087,paperb_pmv_relax,-1.0686103366548294,0.1623758978742013,33.59375,58.75,26.714939534956073,0.7169052083333333,18.48195236019308,27.34375,28.749999999999996,0.0,0.0,26,0,97
2080s,typical,2087,guangzhou_ssp585_late_2080s_typical_2087,paperb_ppd_guard_relax,-1.3092651697967916,0.162685583861009,33.75,56.71874999999999,26.728443901730248,0.7200447916666666,18.571683427982418,27.500000000000004,28.90625,0.0,0.0,9,240,52
