weather,paperb_met,paperb_people_activity_w_per_person,strategy,occupied_steps,electricity_kwh,natural_gas_kwh,mean_top_c,mean_pmv,mean_ppd_pct,ppd_gt_10_pct,ppd_gt_25_pct,ppd_gt_50_pct,pmv_abs_gt_0_5_pct,pmv_abs_gt_1_0_pct,adaptive_violation_pct,adaptive_80_violation_pct,adaptive_90_violation_pct,mean_adaptive_warm_slack_80_c,mean_adaptive_warm_slack_90_c,mean_p_tail,p95_p_tail,p_tail_ge_0_20_pct,mean_warm_tail,mean_cold_tail,cooling_sp_mean_c,cooling_sp_max_c,heating_sp_mean_c,heating_sp_min_c,warm_requests_pct,cold_requests_pct,no_risk_requests_pct,warm_protection_actions,cold_protection_actions,energy_relax_actions,guard_hold_records,idle_actions,dominant_request_source,max_zone_p_tail_ge_0_20_pct,max_zone_mean_p_tail,electricity_change_vs_reference_pct
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,93.20000000000002,paperb_gate_tail_asym_relax,640,24045.035450608946,877.1266261502303,26.28526256413712,-0.07447916666666665,7.448801913006787,12.34375,0.0,0.0,10.46875,0.0,0.0,0.0,0.0,4.564056361656607,3.5640563616566068,0.08549907857076113,0.14051851095139858,0.0,0.060630648213169394,0.024868430357591696,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,5.625,0.11683283284354666,-2.138522989592173
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,93.20000000000002,paperb_pmv_exceedance_guard_relax,640,24045.951583702128,877.1267010757239,26.28534387131009,-0.07443020833333332,7.420899218102642,11.875,0.0,0.0,10.46875,0.0,0.0,0.0,0.0,4.5639750544836435,3.563975054483643,0.08549156829631296,0.14051851095139858,0.0,0.06062456556810826,0.024867002728204662,24.4984375,24.5,21.5015625,21.5,0.0,0.0,100.0,0,0,10,67,630,none,5.625,0.1168341116246466,-2.1347943971423478
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,93.20000000000002,paperb_ppd_guard_relax,640,24045.951583702128,877.1267010757239,26.28534387131009,-0.07443020833333332,7.420899218102642,11.875,0.0,0.0,10.46875,0.0,0.0,0.0,0.0,4.5639750544836435,3.563975054483643,0.08549156829631296,0.14051851095139858,0.0,0.06062456556810826,0.024867002728204662,24.4984375,24.5,21.5015625,21.5,0.0,0.0,100.0,0,0,10,76,630,none,5.625,0.1168341116246466,-2.1347943971423478
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,93.20000000000002,reference,640,24570.480831851426,877.1470055053552,26.0535860912888,-0.15034895833333334,8.311178397152911,28.4375,0.0,0.0,26.09375,0.0,0.625,0.0,0.625,4.795732834504934,3.7957328345049333,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,93.20000000000002,diagnostic_reference,640,24570.480831851426,877.1470055053552,26.0535860912888,0.04374166666666668,7.528986193959264,11.09375,0.78125,0.0,11.25,0.0,0.625,0.0,0.625,4.795732834504934,3.7957328345049333,0.07556069237039106,0.14950362989801713,0.15625,0.053263698016661906,0.022296994353729102,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,5.9375,0.10959396502893352,0.0
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,93.20000000000002,paperb_adaptive_band_relax,640,24045.035450608946,877.1266261502303,26.28526256413712,0.115634375,7.361581546467844,12.5,1.40625,0.0,12.03125,0.78125,0.0,0.0,0.0,4.564056361656607,3.5640563616566068,0.08309798283376668,0.15124102172979495,0.15625,0.05983381803589164,0.023264164797875,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,7.03125,0.11638556610049304,-2.138522989592173
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,93.20000000000002,paperb_gate_tail_asym_relax,640,24045.79214199024,877.1266728738553,26.28536014000173,0.11568645833333333,7.3283095166110455,12.1875,1.40625,0.0,12.03125,0.78125,0.0,0.0,0.0,4.563958785792001,3.5639587857920008,0.0830895210847771,0.15124102172979495,0.15625,0.05982651140793529,0.023263009676841768,24.498828125,24.5,21.5005859375,21.5,0.15625,0.0,99.84375,1,0,11,0,628,none,7.03125,0.11638556610049304,-2.135443312859453
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,93.20000000000002,paperb_pmv_exceedance_guard_relax,640,24047.57744268013,877.1268213398062,26.285603279876284,0.11582395833333332,7.363863619658571,12.5,1.40625,0.0,12.03125,0.78125,0.0,0.0,0.0,4.563715645917446,3.5637156459174464,0.08311919105585039,0.15124102172979495,0.15625,0.05987100396688757,0.023248187088962785,24.479296875,24.5,21.503125,21.5,0.78125,0.0,99.21875,2,0,12,72,626,none,7.03125,0.11652841468682928,-2.1281772739809024
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,93.20000000000002,paperb_ppd_guard_relax,640,24047.57744268013,877.1268213398062,26.285603279876284,0.11582395833333332,7.363863619658571,12.5,1.40625,0.0,12.03125,0.78125,0.0,0.0,0.0,4.563715645917446,3.5637156459174464,0.08311919105585039,0.15124102172979495,0.15625,0.05987100396688757,0.023248187088962785,24.47578125,24.5,21.503125,21.5,1.40625,0.0,98.59375,2,0,12,71,626,none,7.03125,0.11652841468682928,-2.1281772739809024
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,93.20000000000002,reference,640,24570.480831851426,877.1470055053552,26.0535860912888,0.04374166666666668,7.528986193959264,11.09375,0.78125,0.0,11.25,0.0,0.625,0.0,0.625,4.795732834504934,3.7957328345049333,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
