weather,strategy,n_steps,occupied_steps,electricity_kwh,natural_gas_kwh,peak_facility_electric_kw_15min,peak_zone_hvac_kw_15min,mean_operative_temp_c_occ,mean_pmv_occ,pmv_abs_gt_0p5_pct_occ,pmv_abs_gt_1p0_pct_occ,mean_ppd_pct_occ,ppd_gt_10_pct_occ,ppd_gt_25_pct_occ,adaptive_80_violation_pct_occ,mean_expected_tsv_occ,mean_p_tail_occ,mean_warm_tail_occ,mean_cold_tail_occ,mean_zone_p_tail_ge_0p20_pct_occ,max_zone_p_tail_mean_occ,max_zone_p_tail_ge_0p20_pct_occ,any_zone_high_mean_zone_not_high_pct_occ,relax_action_pct_all,guard_hold_pct_all,hvac_on_pct_all,horizon,period,severity,weather_year,period_order,severity_order,reference_electricity_kwh,reference_peak_facility_electric_kw_15min,reference_peak_zone_hvac_kw_15min,electricity_delta_pct_vs_reference,electricity_savings_pct_vs_reference,peak_facility_delta_pct_vs_reference,peak_zone_hvac_delta_pct_vs_reference
guangzhou_ssp585_near_2030s_typical_2039,diagnostic_reference,35040,16704,527365.469889419,26899.96921334802,168.30655276053918,164.71005716911455,25.346416590538627,0.2501694204980842,23.293821839080458,3.603927203065134,8.867075559356763,23.419540229885058,4.034961685823755,,0.19117579515097896,0.0898174643874171,0.05997098099240045,0.029846483395016603,5.4238505747126435,0.13979083549282248,22.569444444444446,17.1455938697318,0.0,0.0,58.90981735159817,near,2030s,typical,2039,1,0,527365.469889419,168.30655276053918,164.71005716911455,0.0,-0.0,0.0,0.0
guangzhou_ssp585_near_2030s_typical_2039,paperb_adaptive_band_relax,35040,16704,519172.84233173257,27037.38327942827,168.3044045368019,165.73360099247108,25.702319068493775,0.35047800925925926,28.38242337164751,4.909003831417625,10.063239913200867,29.376197318007662,5.555555555555555,,0.2640275899899991,0.10108705454233871,0.07313979939783895,0.027947255144499722,7.088122605363985,0.15379079982601346,27.023467432950195,19.935344827586206,0.8190639269406392,5.171232876712329,59.252283105022826,near,2030s,typical,2039,1,0,527365.469889419,168.30655276053918,164.71005716911455,-1.5535009448768733,1.5535009448768733,-0.0012763755789846343,0.6214215700900416
guangzhou_ssp585_near_2030s_typical_2039,paperb_gate_tail_asym_relax,35040,16704,519109.8734756167,27036.68581551468,168.30483393968564,165.77736783842747,25.712762156256,0.35347992496807146,28.292624521072796,4.914990421455938,9.952130570838735,28.520114942528735,5.411877394636015,,0.2653946349224017,0.1011995510488762,0.07336446298368908,0.027835088065187072,7.070162835249043,0.1540120119615391,27.11925287356322,20.049090038314176,4.42351598173516,0.0,59.29223744292238,near,2030s,typical,2039,1,0,527365.469889419,168.30655276053918,164.71005716911455,-1.5654412139523344,1.5654412139523344,-0.0010212441674761763,0.6479936244676798
guangzhou_ssp585_near_2030s_typical_2039,paperb_mu_relax,35040,16704,519138.86602678103,27036.701961929502,168.30475101590537,165.7804774769125,25.711535118494634,0.35312172733077907,28.250718390804597,4.9030172413793105,9.942658212507292,28.490181992337167,5.387931034482758,,0.26515183569130124,0.10116086281655834,0.07331295859211093,0.027847904224447367,7.08213601532567,0.15394241771377354,27.12523946360153,20.04310344827586,6.381278538812786,0.0,59.28938356164384,near,2030s,typical,2039,1,0,527365.469889419,168.30655276053918,164.71005716911455,-1.5599435936454076,1.5599435936454076,-0.001070513657519534,0.6498815714081729
guangzhou_ssp585_near_2030s_typical_2039,paperb_pmv_exceedance_guard_relax,35040,16704,519841.3914266558,27030.20357197872,168.30519397939298,165.76816151520234,25.709447479355113,0.3528481800766284,28.15493295019157,4.891044061302682,10.03735836685734,29.142720306513407,5.549568965517242,,0.26485912781365073,0.10126408054572111,0.07334821217564934,0.027915868370071737,7.058189655172415,0.1542665946197893,27.197078544061306,20.13888888888889,3.1678082191780823,11.090182648401827,59.30936073059361,near,2030s,typical,2039,1,0,527365.469889419,168.30655276053918,164.71005716911455,-1.426729448998798,1.426729448998798,-0.0008073251599016729,0.6424042127563423
guangzhou_ssp585_near_2030s_typical_2039,paperb_ppd_guard_relax,35040,16704,519929.04775542085,27030.196363951298,168.30519079061534,165.76682914546612,25.708676380716604,0.3526776021711367,28.142959770114945,4.891044061302682,10.033317332286973,29.10081417624521,5.555555555555555,,0.26470041381382886,0.10124419291053956,0.07331881116744628,0.027925381743093225,7.064176245210728,0.154307211818752,27.23299808429119,20.168821839080458,3.493150684931507,11.22431506849315,59.30365296803652,near,2030s,typical,2039,1,0,527365.469889419,168.30655276053918,164.71005716911455,-1.4101078964380287,1.4101078964380287,-0.0008092197846698568,0.6415952944916592
guangzhou_ssp585_near_2030s_typical_2039,reference,35040,16704,527365.469889419,26899.96921334802,168.30655276053918,164.71005716911455,25.346416590538627,0.2501694204980842,23.293821839080458,3.603927203065134,8.867075559356763,23.419540229885058,4.034961685823755,,,,,,0.0,,0.0,0.0,0.0,0.0,58.90981735159817,near,2030s,typical,2039,1,0,527365.469889419,168.30655276053918,164.71005716911455,0.0,-0.0,0.0,0.0
guangzhou_ssp585_near_2030s_hot_2033,diagnostic_reference,35040,16704,535277.5581753133,27058.549902538212,168.51945457545682,162.20290326313506,25.50846639290474,0.30439786877394637,29.388170498084293,7.219827586206897,10.343545980333346,29.591714559386972,7.836446360153257,,0.2295531495689644,0.10138717299573388,0.07234163616462633,0.029045536831107506,9.90780651340996,0.1592808953370112,28.861350574712645,18.953544061302683,0.0,0.0,59.666095890410965,near,2030s,hot,2033,1,1,535277.5581753133,168.51945457545682,162.20290326313506,0.0,-0.0,0.0,0.0
guangzhou_ssp585_near_2030s_hot_2033,paperb_adaptive_band_relax,35040,16704,527362.5300853255,27183.726092763387,168.52284101205717,163.23300420456948,25.83700692710617,0.3964744572158365,33.41115900383142,8.477011494252872,11.397453166636671,34.15349616858238,9.482758620689655,,0.29781920495374975,0.1118823561654101,0.08441692810578708,0.02746542805962297,11.488266283524904,0.17065760576067288,31.85464559386973,20.36637931034483,0.7848173515981735,3.4788812785388123,59.974315068493155,near,2030s,hot,2033,1,1,535277.5581753133,168.51945457545682,162.20290326313506,-1.4786773645002138,1.4786773645002138,0.002009522644663697,0.6350693610972735
guangzhou_ssp585_near_2030s_hot_2033,paperb_gate_tail_asym_relax,35040,16704,527255.5447613676,27171.199724178925,168.52411574214173,162.46756998142257,25.842947650613592,0.39815094189016603,33.39918582375479,8.47102490421456,11.28156710450638,33.44109195402299,9.249281609195402,,0.29852662824656745,0.11191504915703089,0.0845080916583024,0.02740695749872844,11.55411877394636,0.17082868003668392,31.9264846743295,20.37236590038314,6.712328767123288,0.0,59.974315068493155,near,2030s,hot,2033,1,1,535277.5581753133,168.51945457545682,162.20290326313506,-1.4986642521109261,1.4986642521109261,0.0027659516799838357,0.1631701485997228
guangzhou_ssp585_near_2030s_hot_2033,paperb_mu_relax,35040,16704,527371.4949525016,27171.211191344337,168.52390234495778,162.46774273076161,25.84178852371984,0.39788146551724146,33.38122605363984,8.47102490421456,11.274801241398018,33.435105363984675,9.249281609195402,,0.2984377113029041,0.11194889352520636,0.084525130790097,0.027423762735109297,11.566091954022989,0.17101645122050055,31.90852490421456,20.342432950191572,9.683219178082192,0.0,59.974315068493155,near,2030s,hot,2033,1,1,535277.5581753133,168.51945457545682,162.20290326313506,-1.477002557283058,1.477002557283058,0.0026393210873942863,0.1632766506015848
