weather,paperb_met,paperb_people_activity_w_per_person,strategy,electricity_change_vs_reference_pct,electricity_kwh,mean_top_c,mean_pmv,mean_ppd_pct,pmv_abs_gt_1_0_pct,ppd_gt_25_pct,adaptive_90_violation_pct,mean_p_tail,p_tail_ge_0_20_pct,max_zone_p_tail_ge_0_20_pct,cooling_sp_mean_c,warm_protection_actions,energy_relax_actions,guard_hold_records,dominant_request_source
guangzhou_ssp585_late_2080s_hot_2086,1.0999999999999996,120.0,paperb_ppd_guard_relax,0.0402309470060702,28176.22228286673,29.069028216727475,1.473815625,50.04543910681556,90.0,90.78125,2.8125,0.3239744360343969,95.15625,99.6875,23.773761796951295,150,2,57,ppd_protect_warm
guangzhou_ssp585_late_2080s_hot_2086,1.0999999999999996,120.0,reference,0.0,28164.8912803814,29.06949530731306,1.4737552083333334,49.86354502029903,89.6875,90.46875,2.96875,,0.0,0.0,24.0,0,0,0,
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,93.20000000000002,diagnostic_reference,0.0,24570.480831851422,26.0535860912888,-0.3291374999999999,10.45831690898664,0.0,0.0,0.625,0.0702401098149697,0.0,0.0,24.0,0,0,0,
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,93.20000000000002,paperb_adaptive_band_relax,-2.138522989592173,24045.035450608942,26.28526256413712,-0.2496010416666666,8.828551494467906,0.0,0.0,0.0,0.0706731213310913,0.0,0.0,24.5,0,10,0,none
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,93.20000000000002,paperb_gate_tail_asym_relax,-2.138522989592173,24045.035450608942,26.28526256413712,-0.2496010416666666,8.920643356495306,0.0,0.0,0.0,0.0706731213310913,0.0,0.0,24.5,0,10,0,none
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,93.20000000000002,paperb_pmv_exceedance_guard_relax,-2.034502105119218,24070.593882089495,26.265238028717015,-0.2570197916666666,9.035151202425588,0.0,0.0,0.0,0.0704551260869462,0.0,0.0,24.4765625,0,10,222,none
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,93.20000000000002,paperb_ppd_guard_relax,-2.0228555032266393,24073.455508175073,26.265157547039184,-0.2569854166666666,9.034291516250244,0.0,0.0,0.0,0.0704629723059301,0.0,0.0,24.47578125,0,10,235,none
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,93.20000000000002,reference,0.0,24570.480831851422,26.0535860912888,-0.3291374999999999,10.45831690898664,0.0,0.0,0.625,,0.0,0.0,24.0,0,0,0,
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,93.20000000000002,diagnostic_reference,0.0,24570.480831851422,26.0535860912888,-0.1503489583333333,8.311178397152911,0.0,0.0,0.625,0.0785044607516795,0.0,4.84375,24.0,0,0,0,
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,93.20000000000002,paperb_adaptive_band_relax,-2.138522989592173,24045.035450608942,26.28526256413712,-0.0744791666666666,7.420471369630244,0.0,0.0,0.0,0.0854990785707611,0.0,5.625,24.5,0,10,0,none
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,93.20000000000002,paperb_gate_tail_asym_relax,-2.138522989592173,24045.035450608942,26.28526256413712,-0.0744791666666666,7.448801913006787,0.0,0.0,0.0,0.0854990785707611,0.0,5.625,24.5,0,10,0,none
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,93.20000000000002,paperb_pmv_exceedance_guard_relax,-2.134794397142348,24045.951583702128,26.28534387131009,-0.0744302083333333,7.420899218102642,0.0,0.0,0.0,0.0854915682963129,0.0,5.625,24.4984375,0,10,67,none
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,93.20000000000002,paperb_ppd_guard_relax,-2.134794397142348,24045.951583702128,26.28534387131009,-0.0744302083333333,7.420899218102642,0.0,0.0,0.0,0.0854915682963129,0.0,5.625,24.4984375,0,10,76,none
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,93.20000000000002,reference,0.0,24570.480831851422,26.0535860912888,-0.1503489583333333,8.311178397152911,0.0,0.0,0.625,,0.0,0.0,24.0,0,0,0,
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,93.20000000000002,diagnostic_reference,0.0,24570.480831851422,26.0535860912888,0.0437416666666666,7.528986193959264,0.0,0.78125,0.625,0.075560692370391,0.15625,5.9375,24.0,0,0,0,
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,93.20000000000002,paperb_adaptive_band_relax,-2.138522989592173,24045.035450608942,26.28526256413712,0.115634375,7.361581546467844,0.78125,1.40625,0.0,0.0830979828337666,0.15625,7.03125,24.5,0,10,0,none
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,93.20000000000002,paperb_gate_tail_asym_relax,-2.135443312859453,24045.79214199024,26.28536014000173,0.1156864583333333,7.328309516611045,0.78125,1.40625,0.0,0.0830895210847771,0.15625,7.03125,24.498828125,1,11,0,none
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,93.20000000000002,paperb_pmv_exceedance_guard_relax,-2.1281772739809024,24047.57744268013,26.285603279876284,0.1158239583333333,7.363863619658571,0.78125,1.40625,0.0,0.0831191910558503,0.15625,7.03125,24.479296875,2,12,72,none
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,93.20000000000002,paperb_ppd_guard_relax,-2.1281772739809024,24047.57744268013,26.285603279876284,0.1158239583333333,7.363863619658571,0.78125,1.40625,0.0,0.0831191910558503,0.15625,7.03125,24.47578125,2,12,71,none
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.9320000000000002,93.20000000000002,reference,0.0,24570.480831851422,26.0535860912888,0.0437416666666666,7.528986193959264,0.0,0.78125,0.625,,0.0,0.0,24.0,0,0,0,
