weather,paperb_met,strategy,occupied_steps,electricity_kwh,natural_gas_kwh,mean_top_c,mean_pmv,mean_ppd_pct,ppd_gt_10_pct,ppd_gt_25_pct,ppd_gt_50_pct,pmv_abs_gt_0_5_pct,pmv_abs_gt_1_0_pct,adaptive_violation_pct,adaptive_80_violation_pct,adaptive_90_violation_pct,mean_adaptive_warm_slack_80_c,mean_adaptive_warm_slack_90_c,mean_p_tail,p95_p_tail,p_tail_ge_0_20_pct,mean_warm_tail,mean_cold_tail,cooling_sp_mean_c,cooling_sp_max_c,heating_sp_mean_c,heating_sp_min_c,warm_requests_pct,cold_requests_pct,no_risk_requests_pct,warm_protection_actions,cold_protection_actions,energy_relax_actions,guard_hold_records,idle_actions,dominant_request_source,max_zone_p_tail_ge_0_20_pct,max_zone_mean_p_tail,electricity_change_vs_reference_pct
guangzhou_ssp585_late_2080s_hot_2086,1.0999999999999996,paperb_pmv_exceedance_guard_relax,640,28176.22228286673,875.3952950688719,29.069028216727475,1.473815625,50.04543910681556,99.6875,90.78125,49.6875,99.6875,90.0,2.8125,0.0,2.8125,2.8518398082002676,1.8518398082002676,0.32397443603439696,0.3877765435830078,95.15625,0.31384301676337467,0.010131419271022254,23.77376182079315,24.5,21.767120909690856,21.5,90.0,0.0,10.0,149,0,2,62,489,pmv_exceedance_warm,99.6875,0.44018360690060243,0.04023094700607022
guangzhou_ssp585_late_2080s_hot_2086,1.0999999999999996,paperb_ppd_guard_relax,640,28176.22228286673,875.3952950688719,29.069028216727475,1.473815625,50.04543910681556,99.6875,90.78125,49.6875,99.6875,90.0,2.8125,0.0,2.8125,2.8518398082002676,1.8518398082002676,0.32397443603439696,0.3877765435830078,95.15625,0.31384301676337467,0.010131419271022254,23.773761796951295,24.5,21.767120885849,21.5,90.78125,0.0,9.21875,150,0,2,57,488,ppd_protect_warm,99.6875,0.44018360690060243,0.04023094700607022
guangzhou_ssp585_late_2080s_hot_2086,1.0999999999999996,reference,640,28164.891280381402,875.3591530032039,29.06949530731306,1.4737552083333334,49.86354502029903,99.84375,90.46875,49.53125,99.6875,89.6875,2.96875,0.0,2.96875,2.8513727176146793,1.851372717614679,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,diagnostic_reference,640,24711.329024909137,877.1392428317896,26.10592862662113,-0.3003947916666666,10.217393654219695,42.8125,0.0,0.0,40.15625,0.0,0.15625,0.0,0.15625,4.743390299172603,3.743390299172603,0.07018194037276808,0.07602658051515399,0.0,0.014447799738484859,0.055734140634283155,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,0.08217944780174188,0.0
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,paperb_adaptive_band_relax,640,24195.60911128613,877.1232783528591,26.329713673699228,-0.22333333333333333,8.712758373480103,33.28125,0.0,0.0,31.71875,0.0,0.0,0.0,0.0,4.5196052520944985,3.519605252094498,0.07046691673243756,0.07577419931726215,0.0,0.014236254205533885,0.05623066252690363,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,0.0,0.08250785462482715,-2.0869776494140013
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,paperb_gate_tail_asym_relax,640,24195.60911128613,877.1232783528591,26.329713673699228,-0.22333333333333333,8.802573615840618,34.21875,0.0,0.0,31.71875,0.0,0.0,0.0,0.0,4.5196052520944985,3.519605252094498,0.07046691673243756,0.07577419931726215,0.0,0.014236254205533885,0.05623066252690363,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,0.0,0.08250785462482715,-2.0869776494140013
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,paperb_pmv_exceedance_guard_relax,640,24225.452201336542,877.1367151434536,26.30802208543879,-0.23143541666666664,8.89052432315236,33.90625,0.0,0.0,32.34375,0.0,0.0,0.0,0.0,4.541296840354938,3.5412968403549385,0.07026860779185651,0.07559098018960995,0.0,0.0141866550622658,0.056081952729590656,24.478125,24.5,21.521875,21.5,0.0,0.0,100.0,0,0,10,207,630,none,0.0,0.08234702451397485,-1.966210814006919
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,paperb_ppd_guard_relax,640,24225.452201336542,877.1367151434536,26.30802208543879,-0.23143541666666664,8.89052432315236,33.90625,0.0,0.0,32.34375,0.0,0.0,0.0,0.0,4.541296840354938,3.5412968403549385,0.07026860779185651,0.07559098018960995,0.0,0.0141866550622658,0.056081952729590656,24.478125,24.5,21.521875,21.5,0.0,0.0,100.0,0,0,10,217,630,none,0.0,0.08234702451397485,-1.966210814006919
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.8550000000000002,reference,640,24711.329024909137,877.1392428317896,26.10592862662113,-0.3003947916666666,10.217393654219695,42.8125,0.0,0.0,40.15625,0.0,0.15625,0.0,0.15625,4.743390299172603,3.743390299172603,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,0.89,diagnostic_reference,640,24711.329024909137,877.1392428317896,26.10592862662113,-0.12289687499999999,8.282077322973585,27.968749999999996,0.0,0.0,25.624999999999996,0.0,0.15625,0.0,0.15625,4.743390299172603,3.743390299172603,0.07925203825931268,0.14461815729933086,0.0,0.05600367011679967,0.023248368142512958,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,4.84375,0.11132870426060859,0.0
